Citation;Expt;Sample;N;crit;Topic;ICC;IAT;IAT type;ECC;expl;Expl type;IEC
Ames et al. (2007);1;1;121;1;Drugs/tobacco;.137;3;Attitude;.418;3;Multiple;.058
Amodio & Devine (2006);2;1;32;2;Race (Bl/Wh);.156;2;Att/belief;.333;1;Attitude;.171
;3;2;21;3;Race (Bl/Wh);.325;2;Multiple;;;;
Arcuri et al. (2008);1;1;52;1;Politics;.642;1;Attitude;;;;
;2;2;37;1;Politics;.414;1;Attitude;;;;
Asendorpf et al. (2002);1;1;138;3;Personality;.274;1;Self;.260;3;Self;.440
Ashburn-Nardo et al. (2003);1;1;77;1;Race (Bl/Wh);.230;1;Attitude;.152;7;Belief;.400
*Bain et al. (2004);1;1;138;2;Politics;.462;1;Attitude;.672;2;Belief;.660
Banse (2007);1;1;132;1;Personality;.370;1;Attitude;.480;1;Attitude;.490
*Banse & Fischer (2002);1;1;94;1;Personality;.219;2;Self;-.160;1;Self;.150
*Banse et al. (2002);1;1;96;2;Relationships;.133;1;Attitude;.166;1;Attitude;.230
Bosson et al. (2000);1;1;83;6;Personality;.161;1;Self;.396;4;Self;.220
Brochu & Morrison (2007);1;1;37;3;Other intergroup;.199;1;Attitude;.459;1;Attitude;.210
*Brockmyer & Oleson (2004);1;1;58;1;Other intergroup;.071;1;Attitude;.185;2;Attitude;-.003
Brunel et al. (2004);1;1;50;2;Consumer;.533;2;Belief;.637;1;Attitude;.504
Brunstein & Schmitt (2004);1;1;44;1;Personality;.498;1;Self;-.170;1;Self;-.108
;1;2;44;1;Personality;-.009;1;Self;-.079;1;Self;-.028
*Carney (2006);1;1;29;19;Race (Bl/Wh);.256;1;Attitude;.007;1;Attitude;.180
;1;2;33;19;Race (Bl/Wh);.058;1;Attitude;-.004;1;Attitude;.160
*Carney et al. (2006);1;1;21;2;Race (Bl/Wh);.266;1;Attitude;-.202;1;Attitude;-.269
*Carpenter (2000);1;1;125;1;Gender/sex;.241;2;Att/belief;.690;1;Attitude;.459
Conner & Barrett (2005);1;1;124;29;Personality;.102;1;Self;.255;1;Self;.230
;2;2;84;13;Personality;.086;1;Self;.320;1;Self;.001
Cunningham et al. (2004);1;1;13;1;Race (Bl/Wh);.790;1;Attitude;.508;1;Attitude;.004
Czopp et al. (2004);1;1;132;3;Relationships;.161;1;Attitude;.218;1;Attitude;.250
Dal Cin et al. (2007);1;1;52;1;Drugs/tobacco;.461;1;Self;;;;
Dasgupta & Rivera (2006);1;1;82;1;Gender/sex;-.060;1;Attitude;;;;
;2;1;67;1;Gender/sex;.040;1;Attitude;;;;
DeSteno et al. (2006);1;1;46;1;Relationships;.550;1;Self;.170;1;Self;-.070
Egloff & Schmukle (2002);3;1;62;6;Clinical;.133;1;Self;.093;1;Self;-.060
