trial_name,N_IATs,IATs,stimulus_type,n_words
05_gay.jpg,1,Sexuality,Image,1
06_hetero.jpg,1,Sexuality,Image,1
07_lesbian.jpg,1,Sexuality,Image,1
abled1.jpg,1,Disability,Image,1
abled2.jpg,1,Disability,Image,1
abled3.jpg,1,Disability,Image,1
abled4.jpg,1,Disability,Image,1
Abuse,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Adore,10,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Transgender | Weight,Adjective,1
AFE021.jpg,1,Asian-American,Image,1
AFE071.jpg,1,Asian-American,Image,1
AFE081.jpg,1,Asian-American,Image,1
AFE811.jpg,1,Asian-American,Image,1
AFE831.jpg,1,Asian-American,Image,1
AFE851.jpg,1,Asian-American,Image,1
Akbar,1,Arab,Name,1
AME0012.jpg,1,Asian-American,Image,1
AME0016.jpg,1,Asian-American,Image,1
AME002.jpg,1,Asian-American,Image,1
AME003.jpg,1,Asian-American,Image,1
AME006.jpg,1,Asian-American,Image,1
AME009.jpg,1,Asian-American,Image,1
AME011.jpg,1,Asian-American,Image,1
AME021.jpg,1,Asian-American,Image,1
AME041.jpg,1,Asian-American,Image,1
AME821.jpg,1,Asian-American,Image,1
AME831.jpg,1,Asian-American,Image,1
AME871.jpg,1,Asian-American,Image,1
Angry,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Anna,1,Gender-Career | Gender-Career,Name,1
Annoy,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Appealing,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Arts,1,Gender-Science,Noun,1
Ashraf,1,Arab,Name,1
Astronomy,1,Gender-Science,Noun,1
Attractive,10,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Transgender | Weight,Adjective,1
Aunt,1,Gender-Science,Noun,1
Awful,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Beautiful,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Ben,1,Gender-Career | Gender-Career,Name,1
Benoit,1,Arab,Name,1
bf1_nc.jpg,1,Race | Race,Image,1
bf14.jpg,1,Weapons,Image,1
bf2_nc.jpg,1,Race | Race,Image,1
bf23.jpg,1,Weapons,Image,1
bf3_nc.jpg,1,Race | Race,Image,1
bf56.jpg,1,Weapons,Image,1
Bible,1,Religion,Noun,1
Biology,1,Gender-Science,Noun,1
bm1_nc.jpg,1,Race | Race,Image,1
bm14.jpg,1,Weapons,Image,1
bm2_nc.jpg,1,Race | Race,Image,1
bm23.jpg,1,Weapons,Image,1
bm3_nc.jpg,1,Race | Race,Image,1
bm56.jpg,1,Weapons,Image,1
Bothersome,10,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Transgender | Weight,Adjective,1
Boy,1,Gender-Science,Noun,1
bush10.jpg,1,President,Image,1
bush11.jpg,1,President,Image,1
bush12.jpg,1,President,Image,1
bush7.jpg,1,President,Image,1
bush8.jpg,1,President,Image,1
bush9.jpg,1,President,Image,1
Business,1,Gender-Career | Gender-Career,Noun,1
Career,1,Gender-Career | Gender-Career,Noun,1
Celebrate,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Chaiyo,1,Arab,Name,1
Cheer,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Cheerful,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Chemistry,1,Gender-Science,Noun,1
Cherish,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Children,1,Gender-Career | Gender-Career,Noun,1
Christian,1,Religion,Adjective,1
Christianity,1,Religion,Noun,1
christianity.jpg,1,Religion,Image,1
Church,1,Religion,Noun,1
ciscelb3.jpg,1,Transgender,Image,1
ciscelb4.jpg,1,Transgender,Image,1
ciscelb5.jpg,1,Transgender,Image,1
ciscelb6.jpg,1,Transgender,Image,1
clinton1.jpg,1,President,Image,1
clinton2.jpg,1,President,Image,1
clinton3.jpg,1,President,Image,1
clinton4.jpg,1,President,Image,1
clinton5.jpg,1,President,Image,1
clinton6.jpg,1,President,Image,1
Corporation,1,Gender-Career | Gender-Career,Noun,1
Daniel,1,Gender-Career | Gender-Career,Name,1
Daughter,1,Gender-Science,Noun,1
Delight,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Delightful,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Despise,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Detest,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Dirty,10,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Transgender | Weight,Adjective,1
disabled1.jpg,1,Disability,Image,1
disabled2.jpg,1,Disability,Image,1
disabled3.jpg,1,Disability,Image,1
disabled4.jpg,1,Disability,Image,1
Disaster,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Disgust,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Emily,1,Gender-Career | Gender-Career,Name,1
Engineering,1,Gender-Science,Noun,1
English,1,Gender-Science,Noun,1
Enjoy,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Ernesto,1,Arab,Name,1
euro1.jpg,1,Native-American,Image,1
euro2.jpg,1,Native-American,Image,1
euro3.jpg,1,Native-American,Image,1
euro4.jpg,1,Native-American,Image,1
euro5.jpg,1,Native-American,Image,1
euro6.jpg,1,Native-American,Image,1
euro7.jpg,1,Native-American,Image,1
euro8.jpg,1,Native-American,Image,1
Evil,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Excellent,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Excitement,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Fabulous,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Failure,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Family,1,Gender-Career | Gender-Career,Noun,1
Fantastic,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Father,1,Gender-Science,Noun,1
fatman1.jpg,1,Weight,Image,1
fatman3.jpg,1,Weight,Image,1
fatman4.jpg,1,Weight,Image,1
fatman5.jpg,1,Weight,Image,1
fatman6.jpg,1,Weight,Image,1
fatwoman1.jpg,1,Weight,Image,1
fatwoman2.jpg,1,Weight,Image,1
fatwoman3.jpg,1,Weight,Image,1
fatwoman4.jpg,1,Weight,Image,1
fatwoman6.jpg,1,Weight,Image,1
Female,1,Gender-Science,Noun,1
FOR001.jpg,1,Asian-American,Image,1
FOR002.jpg,1,Asian-American,Image,1
FOR003.jpg,1,Asian-American,Image,1
FOR004.jpg,1,Asian-American,Image,1
FOR005.jpg,1,Asian-American,Image,1
FOR006.jpg,1,Asian-American,Image,1
Friend,10,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Transgender | Weight,Adjective,1
Friendship,10,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Transgender | Weight,Adjective,1
Gay,1,Sexuality,Adjective,1
Gay Men,1,Sexuality,Multi-Word,2
Gay People,1,Sexuality,Multi-Word,2
Gay Women,1,Sexuality,Multi-Word,2
Geology,1,Gender-Science,Noun,1
Girl,1,Gender-Science,Noun,1
Glad,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Glorious,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Grandma,1,Gender-Science,Noun,1
Grandpa,1,Gender-Science,Noun,1
Grief,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Gross,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Guillame,1,Arab,Name,1
Habib,1,Arab,Name,1
Hakim,1,Arab,Name,1
Happy,10,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Transgender | Weight,Adjective,1
Hate,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Hatred,10,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Transgender | Weight,Adjective,1
hbottle.jpg,1,Weapons,Image,1
hcamera.jpg,1,Weapons,Image,1
hcoke.jpg,1,Weapons,Image,1
Heterosexual,1,Sexuality,Adjective,1
hice_cream.jpg,1,Weapons,Image,1
History,1,Gender-Science,Noun,1
Home,1,Gender-Career | Gender-Career,Noun,1
Homosexual,1,Sexuality,Adjective,1
Horrible,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Horrific,10,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Transgender | Weight,Adjective,1
hphone.jpg,1,Weapons,Image,1
Humanities,1,Gender-Science,Noun,1
Humiliate,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Hurtful,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Husband,1,Gender-Science,Noun,1
hwalkman.jpg,1,Weapons,Image,1
hwallet.jpg,1,Weapons,Image,1
Islam,1,Religion,Noun,1
islam.jpg,1,Religion,Image,1
jefferson1.jpg,1,President,Image,1
jefferson2.jpg,1,President,Image,1
jefferson3.jpg,1,President,Image,1
jefferson4.jpg,1,President,Image,1
jefferson5.jpg,1,President,Image,1
jefferson6.jpg,1,President,Image,1
Jeffrey,1,Gender-Career | Gender-Career,Name,1
Jew,1,Religion,Noun,1
John,1,Gender-Career | Gender-Career,Name,1
Joyful,10,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Transgender | Weight,Adjective,1
Joyous,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Judaism,1,Religion,Noun,1
judaism.jpg,1,Religion,Image,1
Julia,1,Gender-Career | Gender-Career,Name,1
Karim,1,Arab,Name,1
Kazuki,1,Arab,Name,1
kennedy1.jpg,1,President,Image,1
kennedy2.jpg,1,President,Image,1
kennedy3.jpg,1,President,Image,1
kennedy4.jpg,1,President,Image,1
kennedy5.jpg,1,President,Image,1
kennedy6.jpg,1,President,Image,1
Koran,1,Religion,Noun,1
Laughing,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Lesbians,1,Sexuality,Adjective,1
lincolnp1.jpg,1,President,Image,1
lincolnp2.jpg,1,President,Image,1
lincolnp3.jpg,1,President,Image,1
lincolnp4.jpg,1,President,Image,1
lincolnp5.jpg,1,President,Image,1
lincolnp6.jpg,1,President,Image,1
Literature,1,Gender-Science,Noun,1
Love,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Lovely,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Maarten,1,Arab,Name,1
Magnificent,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Male,1,Gender-Science,Noun,1
Man,1,Gender-Science,Noun,1
Management,1,Gender-Career | Gender-Career,Noun,1
Marcelo,1,Arab,Name,1
Marriage,1,Gender-Career | Gender-Career,Noun,1
Math,1,Gender-Science,Noun,1
Matthias,1,Arab,Name,1
Michelle,1,Gender-Career | Gender-Career,Name,1
Mosque,1,Religion,Noun,1
Mother,1,Gender-Science,Noun,1
Muhsin,1,Arab,Name,1
Music,1,Gender-Science,Noun,1
Muslim,1,Religion,Noun,1
Nasty,10,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Transgender | Weight,Adjective,1
native1.jpg,1,Native-American,Image,1
native2.jpg,1,Native-American,Image,1
native3.jpg,1,Native-American,Image,1
native4.jpg,1,Native-American,Image,1
native5.jpg,1,Native-American,Image,1
native6.jpg,1,Native-American,Image,1
native7.jpg,1,Native-American,Image,1
native8.jpg,1,Native-American,Image,1
